GO biological process complete,allexp_forGO.txt - REFLIST (12841),plasticdown.txt (4129),plasticdown.txt (expected),plasticdown.txt (over/under),plasticdown.txt (fold Enrichment),plasticdown.txt (raw P-value),plasticdown.txt (FDR),plasticup.txt (4158),plasticup.txt (expected),plasticup.txt (over/under),plasticup.txt (fold Enrichment),plasticup.txt (raw P-value),plasticup.txt (FDR),plastic8down.txt (2285),plastic8down.txt (expected),plastic8down.txt (over/under),plastic8down.txt (fold Enrichment),plastic8down.txt (raw P-value),plastic8down.txt (FDR),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR)
cobalt ion transport (GO:0006824),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
protoderm histogenesis (GO:0010068),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of trichoblast fate specification (GO:0010063),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
xanthophyll cycle (GO:0010028),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
phytochromobilin biosynthetic process (GO:0010024),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.967,2,1.2,+,1.67,0.633,1
response to dsRNA (GO:0043331),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
response to exogenous dsRNA (GO:0043330),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
lipid droplet disassembly (GO:1905691),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
UDP-N-acetylgalactosamine metabolic process (GO:0019276),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
"glycine biosynthetic process, by transamination of glyoxylate (GO:0019265)",1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of mitochondrial mRNA catabolic process (GO:1905639),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of mitochondrial mRNA catabolic process (GO:1905637),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
Rho protein signal transduction (GO:0007266),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
Ras protein signal transduction (GO:0007265),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
cyclic purine nucleotide metabolic process (GO:0052652),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
pathogenesis (GO:0009405),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
pyridoxal biosynthetic process (GO:0042821),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
vitamin B6 catabolic process (GO:0042820),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
activation of phospholipase C activity (GO:0007202),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cortical actin cytoskeleton organization (GO:0030866),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
histone dephosphorylation (GO:0016576),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
regulation of sulfur utilization (GO:0006792),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
mitotic DNA replication termination (GO:1902979),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
transcriptional activation by promoter-enhancer looping (GO:0071733),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
heme oxidation (GO:0006788),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
protoporphyrinogen IX biosynthetic process (GO:0006782),10,10,3.22,+,3.11,0.0151,0.609,1,3.24,-,0.31,0.314,1,9,1.78,+,5.06,0.000881,0.0396,10,5.98,+,1.67,0.255,1
uroporphyrinogen III biosynthetic process (GO:0006780),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
thiamine metabolic process (GO:0006772),5,5,1.61,+,3.11,0.0705,1,2,1.62,+,1.24,0.682,1,3,0.89,+,3.37,0.107,0.954,5,2.99,+,1.67,0.516,1
membrane assembly (GO:0071709),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
inactivation of MAPK activity (GO:0000188),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
tricarboxylic acid transmembrane transport (GO:0035674),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
membrane protein intracellular domain proteolysis (GO:0031293),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of cyclase activity (GO:0031279),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
establishment of mitotic spindle orientation (GO:0000132),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of lipase activity (GO:0060193),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of lipase activity (GO:0060191),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
UDP-D-galactose metabolic process (GO:0052573),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
plastid rRNA transcription (GO:0042794),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
primary amino compound metabolic process (GO:1901160),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
negative regulation of cell wall organization or biogenesis (GO:1903339),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
protein localization to microtubule organizing center (GO:1905508),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
negative regulation of circadian rhythm (GO:0042754),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of inositol trisphosphate biosynthetic process (GO:0032960),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of division septum assembly (GO:0032955),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
regulation of cytokinetic process (GO:0032954),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
thiamine-containing compound biosynthetic process (GO:0042724),4,4,1.29,+,3.11,0.105,1,1,1.3,-,0.77,1,1,2,0.71,+,2.81,0.226,1,4,2.39,+,1.67,0.483,1
thiamine-containing compound metabolic process (GO:0042723),5,5,1.61,+,3.11,0.0705,1,2,1.62,+,1.24,0.682,1,3,0.89,+,3.37,0.107,0.953,5,2.99,+,1.67,0.516,1
cell migration (GO:0016477),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
prostaglandin metabolic process (GO:0006693),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
prostanoid metabolic process (GO:0006692),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
glycosphingolipid biosynthetic process (GO:0006688),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
glucosylceramide biosynthetic process (GO:0006679),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
phytosphingosine metabolic process (GO:0006671),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
3-keto-sphinganine metabolic process (GO:0006666),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
triglyceride mobilization (GO:0006642),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
fruit replum development (GO:1990058),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
mitotic prophase (GO:0000088),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
mitotic M phase (GO:0000087),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
mitotic G2 phase (GO:0000085),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
mitotic S phase (GO:0000084),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
ER to chloroplast lipid transport (GO:1990052),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.964,2,1.2,+,1.67,0.633,1
mitotic G1 phase (GO:0000080),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
positive regulation of chromatin binding (GO:0035563),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of chromatin binding (GO:0035561),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
geranylgeranyl diphosphate biosynthetic process (GO:0033386),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
geranylgeranyl diphosphate metabolic process (GO:0033385),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
chlorophyll cycle (GO:0033354),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
S-adenosylmethionine cycle (GO:0033353),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
diadenosine tetraphosphate biosynthetic process (GO:0015966),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
diadenosine polyphosphate biosynthetic process (GO:0015960),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
pyrimidine nucleobase salvage (GO:0043100),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
inductive cell-cell signaling (GO:0031129),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
developmental induction (GO:0031128),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
membrane bending (GO:0097753),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.962,2,1.2,+,1.67,0.633,1
10-formyltetrahydrofolate biosynthetic process (GO:0009257),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
10-formyltetrahydrofolate metabolic process (GO:0009256),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
regulation of histone H3-K4 trimethylation (GO:1905435),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
menaquinone biosynthetic process (GO:0009234),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.961,2,1.2,+,1.67,0.633,1
menaquinone metabolic process (GO:0009233),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.959,2,1.2,+,1.67,0.633,1
regulation of organic acid transport (GO:0032890),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
thiamine biosynthetic process (GO:0009228),4,4,1.29,+,3.11,0.105,1,1,1.3,-,0.77,1,1,2,0.71,+,2.81,0.226,1,4,2.39,+,1.67,0.483,1
positive regulation of cell fate specification (GO:0042660),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
positive regulation of mitotic cohesin loading (GO:1905406),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of mitotic cohesin loading (GO:1905405),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cyanidin 3-O-glucoside metabolic process (GO:1901038),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of microtubule depolymerization (GO:0007026),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of phytol biosynthetic process (GO:1904964),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
regulation of phytol biosynthetic process (GO:1904963),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
quiescent center organization (GO:1904961),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
negative regulation of establishment of protein localization (GO:1904950),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
ethanolamine metabolic process (GO:0006580),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
establishment of imprinting at mating-type locus (GO:0071516),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
genetic imprinting at mating-type locus (GO:0071515),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of amino acid transport (GO:0051955),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of amine transport (GO:0051952),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cobalt ion homeostasis (GO:0055068),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
wobble position uridine ribose methylation (GO:0002132),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
wobble position cytosine ribose methylation (GO:0002131),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
wobble position ribose methylation (GO:0002130),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
nickel cation transmembrane transport (GO:0035444),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
tRNA nucleoside ribose methylation (GO:0002128),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.958,2,1.2,+,1.67,0.633,1
pantothenate transmembrane transport (GO:0015887),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
sieve element differentiation (GO:0090603),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
L-ascorbic acid transmembrane transport (GO:0015882),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
choline transport (GO:0015871),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
pyrimidine nucleoside transport (GO:0015864),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cyclic nucleotide biosynthetic process (GO:0009190),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
iron import into cell (GO:0033212),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
S-adenosyl-L-methionine transport (GO:0015805),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
positive regulation of cohesin loading (GO:1905309),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
vitamin catabolic process (GO:0009111),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
tetrahydrofolylpolyglutamate biosynthetic process (GO:0046901),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
photosystem II stabilization (GO:0042549),4,4,1.29,+,3.11,0.105,1,0,1.3,-, < 0.01,0.578,1,3,0.71,+,4.21,0.075,0.795,4,2.39,+,1.67,0.483,1
protein N-linked glycosylation via arginine (GO:0042543),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
lipoate biosynthetic process (GO:0009107),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
positive regulation of cytoplasmic translation (GO:2000767),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
regulation of cytoplasmic translation (GO:2000765),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
cellular response to anoxia (GO:0071454),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
magnesium ion homeostasis (GO:0010960),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
C-terminal protein methylation (GO:0006481),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of auxin mediated signaling pathway (GO:0010930),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
rRNA acetylation involved in maturation of SSU-rRNA (GO:1904812),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
dsDNA loop formation (GO:0090579),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of inositol phosphate biosynthetic process (GO:0010919),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
apical protein localization (GO:0045176),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
tyrosyl-tRNA aminoacylation (GO:0006437),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
glycyl-tRNA aminoacylation (GO:0006426),2,2,0.64,+,3.11,0.25,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
acquisition of nutrients from other organism during symbiotic interaction (GO:0051816),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
arginyl-tRNA aminoacylation (GO:0006420),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
positive regulation of cellular response to oxidative stress (GO:1900409),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
