GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic8_ref_forGO.txt (4605),plastic8_ref_forGO.txt (expected),plastic8_ref_forGO.txt (over/under),plastic8_ref_forGO.txt (fold Enrichment),plastic8_ref_forGO.txt (raw P-value),plastic8_ref_forGO.txt (FDR),plastic32_ref_forGO.txt (7279),plastic32_ref_forGO.txt (expected),plastic32_ref_forGO.txt (over/under),plastic32_ref_forGO.txt (fold Enrichment),plastic32_ref_forGO.txt (raw P-value),plastic32_ref_forGO.txt (FDR),different_dir_832_genes_ref_forGO.txt (129),different_dir_832_genes_ref_forGO.txt (expected),different_dir_832_genes_ref_forGO.txt (over/under),different_dir_832_genes_ref_forGO.txt (fold Enrichment),different_dir_832_genes_ref_forGO.txt (raw P-value),different_dir_832_genes_ref_forGO.txt (FDR)
Golgi to endosome transport (GO:0006895),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
peptidyl-serine acetylation (GO:0030920),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
purine ribonucleoside bisphosphate biosynthetic process (GO:0034036),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
purine ribonucleoside bisphosphate metabolic process (GO:0034035),3,3,1.79,+,1.67,0.678,1,3,1.08,+,2.79,0.192,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
chloroplast mRNA modification (GO:1900871),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,0,1.13,-, < 0.01,0.538,1,0,0.02,-, < 0.01,1,1
mitochondrial pyruvate transmembrane transport (GO:0006850),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
pyruvate transport (GO:0006848),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
regulation of inflorescence meristem growth (GO:0010081),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of floral meristem growth (GO:0010080),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of protein binding (GO:0043393),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
positive regulation of DNA binding (GO:0043388),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cobalt ion transport (GO:0006824),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
protoderm histogenesis (GO:0010068),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
embryonic shoot morphogenesis (GO:0010064),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
positive regulation of trichoblast fate specification (GO:0010063),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
histone glutamine methylation (GO:1990258),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
atrichoblast differentiation (GO:0010055),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
nitric oxide biosynthetic process (GO:0006809),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
response to mycotoxin (GO:0010046),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
shikimate biosynthetic process (GO:0033587),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
response to manganese ion (GO:0010042),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
protein glycosylation in endoplasmic reticulum (GO:0033577),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
meiotic chromosome condensation (GO:0010032),4,4,2.39,+,1.67,0.483,1,3,1.43,+,2.09,0.39,1,3,2.27,+,1.32,0.709,1,0,0.04,-, < 0.01,1,1
xanthophyll cycle (GO:0010028),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
immune response-activating cell surface receptor signaling pathway (GO:0002429),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
phytochromobilin biosynthetic process (GO:0010024),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
response to dsRNA (GO:0043331),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
response to exogenous dsRNA (GO:0043330),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
lipid droplet disassembly (GO:1905691),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
raffinose metabolic process (GO:0033530),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
UDP-N-acetylgalactosamine metabolic process (GO:0019276),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
S-methylmethionine cycle (GO:0033528),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
"glycine biosynthetic process, by transamination of glyoxylate (GO:0019265)",1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
L-lysine catabolic process to acetyl-CoA via saccharopine (GO:0033512),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
positive regulation of sulfur amino acid metabolic process (GO:0031337),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243),4,4,2.39,+,1.67,0.483,1,1,1.43,-,0.7,1,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
respiratory chain complex III assembly (GO:0017062),3,3,1.79,+,1.67,0.678,1,0,1.08,-, < 0.01,0.571,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
response to pheromone (GO:0019236),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
negative regulation of DNA methylation (GO:1905642),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
positive regulation of mitochondrial mRNA catabolic process (GO:1905639),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of mitochondrial mRNA catabolic process (GO:1905637),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
L-arabinose transmembrane transport (GO:0042882),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
pyridoxal 5'-phosphate salvage (GO:0009443),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
cyanate catabolic process (GO:0009440),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
Rho protein signal transduction (GO:0007266),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,1,0.01,+,99.54,0.0198,1
Ras protein signal transduction (GO:0007265),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,1,0.01,+,99.54,0.0198,1
germ-line stem-cell niche homeostasis (GO:0060250),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
cyclic purine nucleotide metabolic process (GO:0052652),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of steroid metabolic process (GO:0019218),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
cyanate metabolic process (GO:0009439),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
positive regulation of developmental vegetative growth (GO:1905615),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of developmental vegetative growth (GO:1905613),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
fluoride transmembrane transport (GO:1903424),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
L-alanine catabolic process (GO:0042853),3,3,1.79,+,1.67,0.678,1,3,1.08,+,2.79,0.192,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
L-alanine metabolic process (GO:0042851),3,3,1.79,+,1.67,0.678,1,3,1.08,+,2.79,0.192,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
response to flooding (GO:0009413),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
D-xylose catabolic process (GO:0042843),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
protein-heme linkage (GO:0017003),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
pathogenesis (GO:0009405),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
defense response to protozoan (GO:0042832),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
endoplasmic reticulum tubular network organization (GO:0071786),3,3,1.79,+,1.67,0.678,1,0,1.08,-, < 0.01,0.571,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
pyridoxal biosynthetic process (GO:0042821),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
vitamin B6 catabolic process (GO:0042820),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
endoplasmic reticulum cisternal network assembly (GO:0071784),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
endoplasmic reticulum cisternal network organization (GO:0071783),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
activation of phospholipase C activity (GO:0007202),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cortical actin cytoskeleton organization (GO:0030866),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
pyridoxal metabolic process (GO:0042817),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
monopolar cell growth (GO:0042814),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
protein arginylation (GO:0016598),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
histone dephosphorylation (GO:0016576),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
DNA strand elongation involved in mitotic DNA replication (GO:1902983),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
regulation of sulfur utilization (GO:0006792),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
mitotic DNA replication termination (GO:1902979),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
transcriptional activation by promoter-enhancer looping (GO:0071733),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
heme oxidation (GO:0006788),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
establishment of protein localization to plasma membrane (GO:0061951),4,4,2.39,+,1.67,0.483,1,1,1.43,-,0.7,1,1,3,2.27,+,1.32,0.709,1,0,0.04,-, < 0.01,1,1
protoporphyrinogen IX biosynthetic process (GO:0006782),10,10,5.98,+,1.67,0.255,1,9,3.59,+,2.51,0.0631,1,9,5.67,+,1.59,0.343,1,0,0.1,-, < 0.01,1,1
uroporphyrinogen III biosynthetic process (GO:0006780),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of nucleotide biosynthetic process (GO:0030808),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
thiamine metabolic process (GO:0006772),5,5,2.99,+,1.67,0.516,1,3,1.79,+,1.67,0.443,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
membrane assembly (GO:0071709),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
negative regulation of alcohol biosynthetic process (GO:1902931),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
NADP catabolic process (GO:0006742),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
apocarotenoid catabolic process (GO:0043290),4,4,2.39,+,1.67,0.483,1,2,1.43,+,1.39,0.658,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
histone H2A phosphorylation (GO:1990164),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
tetrahydrobiopterin biosynthetic process (GO:0006729),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,3,1.7,+,1.76,0.674,1,1,0.03,+,33.18,0.0392,1
inactivation of MAPK activity (GO:0000188),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
rDNA heterochromatin assembly (GO:0000183),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
response to alkaloid (GO:0043279),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
tricarboxylic acid transmembrane transport (GO:0035674),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
MAPK cascade (GO:0000165),5,5,2.99,+,1.67,0.516,1,3,1.79,+,1.67,0.443,1,5,2.83,+,1.76,0.512,1,0,0.05,-, < 0.01,1,1
UDP-rhamnose metabolic process (GO:0033478),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
S-methylmethionine metabolic process (GO:0033477),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
indoleacetic acid conjugate metabolic process (GO:0033473),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
membrane protein intracellular domain proteolysis (GO:0031293),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of cyclase activity (GO:0031279),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
establishment of mitotic spindle orientation (GO:0000132),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
response to leucine (GO:0043201),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
FMN biosynthetic process (GO:0009398),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
positive regulation of lipase activity (GO:0060193),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of lipase activity (GO:0060191),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
receptor recycling (GO:0001881),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
UDP-D-galactose metabolic process (GO:0052573),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
tRNA transcription by RNA polymerase III (GO:0042797),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
chromatin-mediated maintenance of transcription (GO:0048096),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
plastid rRNA transcription (GO:0042794),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
signal complex assembly (GO:0007172),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
enzyme linked receptor protein signaling pathway (GO:0007167),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
establishment of tissue polarity (GO:0007164),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
primary amino compound metabolic process (GO:1901160),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of endopeptidase activity (GO:0052548),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
regulation of peptidase activity (GO:0052547),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
defense response by callose deposition in cell wall (GO:0052544),10,10,5.98,+,1.67,0.255,1,7,3.59,+,1.95,0.174,1,10,5.67,+,1.76,0.244,1,0,0.1,-, < 0.01,1,1
negative regulation of cell wall organization or biogenesis (GO:1903339),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of protein folding (GO:1903332),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
protein-DNA complex disassembly (GO:0032986),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
protein localization to microtubule organizing center (GO:1905508),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of circadian rhythm (GO:0042754),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of inositol trisphosphate biosynthetic process (GO:0032960),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
D-xylose metabolic process (GO:0042732),6,6,3.59,+,1.67,0.383,1,1,2.15,-,0.46,0.684,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
regulation of division septum assembly (GO:0032955),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
regulation of cytokinetic process (GO:0032954),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
thiamine-containing compound biosynthetic process (GO:0042724),4,4,2.39,+,1.67,0.483,1,2,1.43,+,1.39,0.658,1,3,2.27,+,1.32,0.709,1,0,0.04,-, < 0.01,1,1
thiamine-containing compound metabolic process (GO:0042723),5,5,2.99,+,1.67,0.516,1,3,1.79,+,1.67,0.443,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
SREBP signaling pathway (GO:0032933),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
farnesol metabolic process (GO:0016487),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
cell migration (GO:0016477),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
