




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	evolved_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.adaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.maladaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	allexp_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	allexp_forGO.txt - REFLIST (12841)	evolved_ref_forGO.txt (166)	evolved_ref_forGO.txt (expected)	evolved_ref_forGO.txt (over/under)	evolved_ref_forGO.txt (fold Enrichment)	evolved_ref_forGO.txt (raw P-value)	evolved_ref_forGO.txt (FDR)	adaptive_plasticity_ref_forGO.txt (41)	adaptive_plasticity_ref_forGO.txt (expected)	adaptive_plasticity_ref_forGO.txt (over/under)	adaptive_plasticity_ref_forGO.txt (fold Enrichment)	adaptive_plasticity_ref_forGO.txt (raw P-value)	adaptive_plasticity_ref_forGO.txt (FDR)	maladaptive_plasticity_ref_forGO.txt (15)	maladaptive_plasticity_ref_forGO.txt (expected)	maladaptive_plasticity_ref_forGO.txt (over/under)	maladaptive_plasticity_ref_forGO.txt (fold Enrichment)	maladaptive_plasticity_ref_forGO.txt (raw P-value)	maladaptive_plasticity_ref_forGO.txt (FDR)
cellular stress response to acidic pH (GO:1990451)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acylethanolamine metabolic process (GO:0070291)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
determination of dorsal identity (GO:0048263)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
determination of dorsal/ventral asymmetry (GO:0048262)	1	1	.01	+	77.36	2.54E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of meiotic nuclear division (GO:0045836)	3	2	.04	+	51.57	1.58E-03	1.00E00	1	.01	+	 > 100	1.27E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
xanthophyll cycle (GO:0010028)	2	1	.03	+	38.68	3.78E-02	1.00E00	1	.01	+	 > 100	9.52E-03	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
stress response to copper ion (GO:1990169)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol phosphate-mediated signaling (GO:0048016)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
endoderm formation (GO:0001706)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	1	.00	+	 > 100	3.50E-03	1.00E00
formation of primary germ layer (GO:0001704)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	1	.00	+	 > 100	3.50E-03	1.00E00
bundle sheath cell fate specification (GO:0090610)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
leucyl-tRNA aminoacylation (GO:0006429)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
ethanolamine-containing compound metabolic process (GO:0042439)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
[2Fe-2S] cluster assembly (GO:0044571)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to amino acid starvation (GO:1990928)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
exocyst localization (GO:0051601)	2	1	.03	+	38.68	3.78E-02	1.00E00	1	.01	+	 > 100	9.52E-03	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclic-nucleotide-mediated signaling (GO:0019935)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cAMP-mediated signaling (GO:0019933)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
maintenance of protein location in nucleus (GO:0051457)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
detoxification of copper ion (GO:0010273)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
endodermal cell differentiation (GO:0035987)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	1	.00	+	 > 100	3.50E-03	1.00E00
endoderm development (GO:0007492)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	1	.00	+	 > 100	3.50E-03	1.00E00
cellular response to amino acid starvation (GO:0034198)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
gastrulation (GO:0007369)	2	1	.03	+	38.68	3.78E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	1	.00	+	 > 100	3.50E-03	1.00E00
positive regulation of meiotic cell cycle (GO:0051446)	5	2	.06	+	30.94	3.26E-03	1.00E00	1	.02	+	62.64	1.89E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	3	1	.04	+	25.79	5.01E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of potassium ion transport (GO:0043268)	3	1	.04	+	25.79	5.01E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cyclase activity (GO:0031279)	3	1	.04	+	25.79	5.01E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to cation stress (GO:0043157)	3	1	.04	+	25.79	5.01E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
specification of plant organ axis polarity (GO:0090708)	3	1	.04	+	25.79	5.01E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	1	.00	+	 > 100	4.66E-03	1.00E00
S-adenosylmethionine biosynthetic process (GO:0006556)	3	1	.04	+	25.79	5.01E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
C-terminal protein lipidation (GO:0006501)	3	1	.04	+	25.79	5.01E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin transmembrane transport (GO:0035461)	3	1	.04	+	25.79	5.01E-02	1.00E00	1	.01	+	 > 100	1.27E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glutaminyl-tRNA aminoacylation (GO:0006425)	3	1	.04	+	25.79	5.01E-02	1.00E00	1	.01	+	 > 100	1.27E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamyl-tRNA aminoacylation (GO:0006424)	3	1	.04	+	25.79	5.01E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to acidic pH (GO:0010447)	3	1	.04	+	25.79	5.01E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to pH (GO:0009268)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to gamma radiation (GO:0071480)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
C-terminal protein amino acid modification (GO:0018410)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
terpenoid transport (GO:0046865)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
isoprenoid transport (GO:0046864)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
UTP biosynthetic process (GO:0006228)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
endosome to lysosome transport (GO:0008333)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA recombination (GO:0045911)	4	1	.05	+	19.34	6.22E-02	1.00E00	1	.01	+	78.30	1.58E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
abscisic acid transport (GO:0080168)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin transport (GO:0051180)	4	1	.05	+	19.34	6.22E-02	1.00E00	1	.01	+	78.30	1.58E-02	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
UTP metabolic process (GO:0046051)	4	1	.05	+	19.34	6.22E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP metabolic process (GO:0046039)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell fate specification (GO:0042659)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	1	.01	+	 > 100	6.98E-03	1.00E00
positive regulation of nuclear division (GO:0051785)	10	2	.13	+	15.47	9.82E-03	1.00E00	1	.03	+	31.32	3.45E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
lead ion transport (GO:0015692)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of meiotic nuclear division (GO:0040020)	10	2	.13	+	15.47	9.82E-03	1.00E00	1	.03	+	31.32	3.45E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
GTP biosynthetic process (GO:0006183)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of reciprocal meiotic recombination (GO:0010520)	5	1	.06	+	15.47	7.42E-02	1.00E00	1	.02	+	62.64	1.89E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine metabolic process (GO:0006044)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
determination of bilateral symmetry (GO:0009855)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
post-translational protein modification (GO:0043687)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of vegetative phase change (GO:0010321)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
specification of symmetry (GO:0009799)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
integument development (GO:0080060)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
response to herbicide (GO:0009635)	5	1	.06	+	15.47	7.42E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
lysosomal transport (GO:0007041)	6	1	.08	+	12.89	8.60E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to ionizing radiation (GO:0071479)	6	1	.08	+	12.89	8.60E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
detoxification of inorganic compound (GO:0061687)	6	1	.08	+	12.89	8.60E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine metabolic process (GO:0046500)	6	1	.08	+	12.89	8.60E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell fate commitment (GO:0010453)	6	1	.08	+	12.89	8.60E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	1	.01	+	 > 100	8.14E-03	1.00E00
response to desiccation (GO:0009269)	13	2	.17	+	11.90	1.52E-02	1.00E00	1	.04	+	24.09	4.37E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of meiotic cell cycle (GO:0051445)	13	2	.17	+	11.90	1.52E-02	1.00E00	1	.04	+	24.09	4.37E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ion transport (GO:0043270)	7	1	.09	+	11.05	9.77E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion transport (GO:0043266)	7	1	.09	+	11.05	9.77E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial ATP synthesis coupled proton transport (GO:0042776)	7	1	.09	+	11.05	9.77E-02	1.00E00	1	.02	+	44.74	2.52E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
cell cycle G1/S phase transition (GO:0044843)	7	1	.09	+	11.05	9.77E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	7	1	.09	+	11.05	9.77E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA 5'-end processing (GO:0000967)	7	1	.09	+	11.05	9.77E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular protein-containing complex localization (GO:0034629)	7	1	.09	+	11.05	9.77E-02	1.00E00	1	.02	+	44.74	2.52E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	7	1	.09	+	11.05	9.77E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to hydrogen peroxide (GO:0070301)	7	1	.09	+	11.05	9.77E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of root morphogenesis (GO:2000067)	7	1	.09	+	11.05	9.77E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	1	.01	+	 > 100	9.30E-03	1.00E00
methylguanosine-cap decapping (GO:0110156)	7	1	.09	+	11.05	9.77E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of inflorescence meristem identity (GO:0010077)	8	1	.10	+	9.67	1.09E-01	1.00E00	1	.03	+	39.15	2.83E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
primary shoot apical meristem specification (GO:0010072)	8	1	.10	+	9.67	1.09E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosamine-containing compound metabolic process (GO:1901071)	8	1	.10	+	9.67	1.09E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
glycogen biosynthetic process (GO:0005978)	8	1	.10	+	9.67	1.09E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
stress response to metal ion (GO:0097501)	8	1	.10	+	9.67	1.09E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
response to copper ion (GO:0046688)	8	1	.10	+	9.67	1.09E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	8	1	.10	+	9.67	1.09E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
amino sugar biosynthetic process (GO:0046349)	8	1	.10	+	9.67	1.09E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
floral organ abscission (GO:0010227)	8	1	.10	+	9.67	1.09E-01	1.00E00	1	.03	+	39.15	2.83E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA decapping (GO:0110154)	8	1	.10	+	9.67	1.09E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
acceptance of pollen (GO:0060321)	8	1	.10	+	9.67	1.09E-01	1.00E00	1	.03	+	39.15	2.83E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
meristem initiation (GO:0010014)	17	2	.22	+	9.10	2.40E-02	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to gibberellin stimulus (GO:0071370)	34	4	.44	+	9.10	1.35E-03	1.00E00	1	.11	+	9.21	1.06E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
guanosine-containing compound biosynthetic process (GO:1901070)	9	1	.12	+	8.60	1.21E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	9	1	.12	+	8.60	1.21E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
monosaccharide transmembrane transport (GO:0015749)	9	1	.12	+	8.60	1.21E-01	1.00E00	1	.03	+	34.80	3.14E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
primary alcohol metabolic process (GO:0034308)	9	1	.12	+	8.60	1.21E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
shoot axis formation (GO:0010346)	9	1	.12	+	8.60	1.21E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of seed dormancy process (GO:2000033)	9	1	.12	+	8.60	1.21E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
secondary shoot formation (GO:0010223)	9	1	.12	+	8.60	1.21E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
cytokinin biosynthetic process (GO:0009691)	9	1	.12	+	8.60	1.21E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of root meristem growth (GO:0010082)	19	2	.25	+	8.14	2.90E-02	1.00E00	2	.06	+	32.97	2.00E-03	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell cycle process (GO:0090068)	19	2	.25	+	8.14	2.90E-02	1.00E00	1	.06	+	16.48	6.18E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
CTP metabolic process (GO:0046036)	10	1	.13	+	7.74	1.32E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
defense response to insect (GO:0002213)	10	1	.13	+	7.74	1.32E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
morphogenesis of a branching structure (GO:0001763)	10	1	.13	+	7.74	1.32E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	10	1	.13	+	7.74	1.32E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	10	1	.13	+	7.74	1.32E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
CTP biosynthetic process (GO:0006241)	10	1	.13	+	7.74	1.32E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
water homeostasis (GO:0030104)	10	1	.13	+	7.74	1.32E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	1	.01	+	85.61	1.28E-02	1.00E00
